Dept_Housing_MMcD,Base_Year,Base_Cost,Inflation_Percent,Cost_per_unit
3_bed_semi_GDA,2024,450652,,450652
2_bed_urban_medium_rise,2024,591783,,591783
One_Off_build,,,,375000 
