Item,Base_2024,Scenario_50k,Scenario_60k
Direct_Procurement,150,,
HFA,1000,,
LDA,1250,,
HBFI,400,,
Activate_ISIF,250,,
ISIF_Other,,,,
STAR_Croi_Conaithe_etc,450,,
Total,3500,, 
