Item,Base_2024,Scenario_50k,Scenario_60k
Total,30330,50000,60000
Less_One_Off,5367,5500,5500
Net_Output,24963,44500,54500
Houses_Scheme,16200,17800,21800
Apartments,8763,26700,32700 
